self.yaw: 3.046074867248535
self.home: array('f', [-0.4219454228878021, 2.5425403118133545, 3.854236364364624])
shift: [0. 0. 0.]
apriltag bezier - count : 409,   delta_t : 1,   xf : [-0.08194908  3.24474812  2.32053471],   vehicle_position : [-0.59691274  2.67376137 -5.98078632]
apriltag bezier - count : 409,   delta_t : 2,   xf : [-0.08194908  3.24474812  2.32053471],   vehicle_position : [-0.59052789  2.67553806 -5.9831562 ]
apriltag bezier - count : 409,   delta_t : 3,   xf : [-0.08194908  3.24474812  2.32053471],   vehicle_position : [-0.58424807  2.67718792 -5.98535252]
apriltag bezier - count : 422,   delta_t : 1,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.58110428  2.67805576 -5.98636007]
apriltag bezier - count : 422,   delta_t : 2,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.57201678  2.68033195 -5.98912382]
apriltag bezier - count : 422,   delta_t : 3,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.56633842  2.68196607 -5.99064159]
apriltag bezier - count : 422,   delta_t : 4,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.56081629  2.68415833 -5.99167252]
apriltag bezier - count : 422,   delta_t : 5,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.55526805  2.68611312 -5.99220657]
apriltag bezier - count : 422,   delta_t : 6,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.54952705  2.68794036 -5.99229288]
apriltag bezier - count : 422,   delta_t : 7,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.54390359  2.68955016 -5.99200153]
apriltag bezier - count : 422,   delta_t : 8,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.53847724  2.69181538 -5.99128866]
apriltag bezier - count : 422,   delta_t : 9,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.53280151  2.69405699 -5.99005461]
apriltag bezier - count : 422,   delta_t : 10,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.52718216  2.69604993 -5.98828602]
apriltag bezier - count : 422,   delta_t : 11,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.5216049   2.69795465 -5.98596764]
apriltag bezier - count : 422,   delta_t : 12,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.51597798  2.69986725 -5.98321342]
apriltag bezier - count : 422,   delta_t : 13,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.51344699  2.70100689 -5.98180628]
apriltag bezier - count : 422,   delta_t : 14,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.50533128  2.70440459 -5.97675085]
apriltag bezier - count : 422,   delta_t : 15,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.49990544  2.70647955 -5.97287512]
apriltag bezier - count : 422,   delta_t : 16,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.49464568  2.70841503 -5.96865845]
apriltag bezier - count : 422,   delta_t : 17,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.48948136  2.71051598 -5.96432066]
apriltag bezier - count : 422,   delta_t : 18,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.48428348  2.71274519 -5.95979118]
apriltag bezier - count : 422,   delta_t : 19,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.47909075  2.71483135 -5.95502806]
apriltag bezier - count : 422,   delta_t : 20,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.47390175  2.71682978 -5.95016432]
apriltag bezier - count : 422,   delta_t : 21,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.46842334  2.71853924 -5.94504166]
