self.yaw: -2.778215169906616
self.home: array('f', [0.0726923793554306, 0.6359039545059204, 3.1788148880004883])
shift: [0. 0. 0.]
edge case - count_goal : 489,   delta_t_goal : 1,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.09987985  0.64129889 -6.60645056]
edge case - count_goal : 489,   delta_t_goal : 2,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.09558548  0.6428045  -6.60895729]
edge case - count_goal : 489,   delta_t_goal : 3,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.09363905  0.64355308 -6.61023331]
edge case - count_goal : 489,   delta_t_goal : 4,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.08740135  0.6459524  -6.61414623]
edge case - count_goal : 489,   delta_t_goal : 5,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.08329994  0.64752299 -6.61655474]
edge case - count_goal : 489,   delta_t_goal : 6,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.07972953  0.64923584 -6.61857033]
edge case - count_goal : 489,   delta_t_goal : 7,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.07618967  0.65080315 -6.61996317]
edge case - count_goal : 489,   delta_t_goal : 8,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.07442003  0.65150833 -6.62033463]
edge case - count_goal : 489,   delta_t_goal : 9,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.0691536   0.65367669 -6.62065029]
edge case - count_goal : 489,   delta_t_goal : 10,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.0657523   0.65516835 -6.62019634]
edge case - count_goal : 489,   delta_t_goal : 11,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.06241951  0.65658081 -6.61931419]
edge case - count_goal : 489,   delta_t_goal : 12,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.05911464  0.65793574 -6.61806917]
edge case - count_goal : 489,   delta_t_goal : 13,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.05749633  0.65854734 -6.61725092]
edge case - count_goal : 489,   delta_t_goal : 14,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.05274019  0.66047269 -6.61433411]
edge case - count_goal : 489,   delta_t_goal : 15,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.04975042  0.6617223  -6.61211395]
edge case - count_goal : 489,   delta_t_goal : 16,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.04840396  0.66240495 -6.61086178]
edge case - count_goal : 489,   delta_t_goal : 17,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.04448468  0.6643014  -6.60680485]
edge case - count_goal : 489,   delta_t_goal : 18,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.04185743  0.66551167 -6.6039834 ]
edge case - count_goal : 489,   delta_t_goal : 19,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.03910146  0.66677696 -6.60086679]
edge case - count_goal : 489,   delta_t_goal : 20,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.03653147  0.6679098  -6.59756517]
edge case - count_goal : 489,   delta_t_goal : 21,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.03422964  0.66902614 -6.59422493]
edge case - count_goal : 489,   delta_t_goal : 22,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-0.03187445  0.67005414 -6.59084892]
