self.yaw: -2.3119821548461914
self.home: array('f', [-1.267073392868042, 6.374765396118164, 2.511545419692993])
shift: [0. 0. 0.]
apriltag bezier - count : 407,   delta_t : 1,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.26372838  6.53658533 -7.25570488]
apriltag bezier - count : 407,   delta_t : 2,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.25865948  6.53246498 -7.25751305]
apriltag bezier - count : 407,   delta_t : 3,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.25108516  6.52615261 -7.26026154]
apriltag bezier - count : 407,   delta_t : 4,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.24838877  6.52398014 -7.26113796]
apriltag bezier - count : 407,   delta_t : 5,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.24318874  6.51960897 -7.26303005]
apriltag bezier - count : 407,   delta_t : 6,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.23565197  6.51363277 -7.2653656 ]
apriltag bezier - count : 407,   delta_t : 7,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.23326194  6.51174212 -7.26596308]
apriltag bezier - count : 407,   delta_t : 8,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.22633934  6.50592136 -7.26698208]
apriltag bezier - count : 407,   delta_t : 9,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.22414911  6.50396347 -7.26696014]
apriltag bezier - count : 407,   delta_t : 10,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.22009742  6.50029516 -7.26638603]
apriltag bezier - count : 407,   delta_t : 11,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.21414173  6.49483252 -7.26451969]
apriltag bezier - count : 407,   delta_t : 12,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.21215022  6.49304867 -7.26364899]
apriltag bezier - count : 407,   delta_t : 13,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.20810747  6.48959017 -7.26144648]
apriltag bezier - count : 407,   delta_t : 14,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.20161569  6.4845376  -7.25718069]
apriltag bezier - count : 407,   delta_t : 15,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.19750881  6.48133898 -7.25380754]
apriltag bezier - count : 407,   delta_t : 16,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.19562483  6.47972584 -7.25196791]
apriltag bezier - count : 407,   delta_t : 17,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.19191837  6.47661829 -7.24825096]
apriltag bezier - count : 407,   delta_t : 18,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.18591976  6.47225285 -7.24191141]
apriltag bezier - count : 407,   delta_t : 19,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.18200421  6.46949005 -7.23729849]
apriltag bezier - count : 407,   delta_t : 20,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.17831612  6.46693325 -7.23224783]
apriltag bezier - count : 407,   delta_t : 21,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.17486632  6.46422958 -7.22676897]
apriltag bezier - count : 407,   delta_t : 22,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.17320585  6.46299171 -7.22390461]
apriltag bezier - count : 407,   delta_t : 23,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.16767526  6.45931864 -7.21482372]
apriltag bezier - count : 407,   delta_t : 24,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.16394186  6.4569416  -7.20849609]
apriltag bezier - count : 407,   delta_t : 25,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.16052067  6.45453072 -7.20199203]
apriltag bezier - count : 407,   delta_t : 26,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.1588819   6.45340014 -7.19869375]
apriltag bezier - count : 407,   delta_t : 27,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.15406156  6.45041656 -7.18839025]
apriltag bezier - count : 407,   delta_t : 28,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.15049803  6.44838715 -7.18125486]
apriltag bezier - count : 407,   delta_t : 29,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.15049803  6.44838715 -7.18125486]
apriltag bezier - count : 407,   delta_t : 30,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.14537418  6.44531202 -7.17052078]
apriltag bezier - count : 407,   delta_t : 31,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.14088356  6.44233131 -7.1597023 ]
apriltag bezier - count : 407,   delta_t : 32,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.13948345  6.44134378 -7.15607166]
apriltag bezier - count : 407,   delta_t : 33,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.13634193  6.43928003 -7.14894533]
apriltag bezier - count : 407,   delta_t : 34,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.13177407  6.43602991 -7.13814306]
apriltag bezier - count : 407,   delta_t : 35,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.13026106  6.43493032 -7.13445568]
apriltag bezier - count : 407,   delta_t : 36,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.12737882  6.43292713 -7.1271596 ]
apriltag bezier - count : 407,   delta_t : 37,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.12472129  6.43092871 -7.11992884]
apriltag bezier - count : 407,   delta_t : 38,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.12182009  6.42882824 -7.11266327]
apriltag bezier - count : 407,   delta_t : 39,   xf : [-1.61728501  6.87615299  0.92177725],   vehicle_position : [-1.11879992  6.4267931  -7.10536432]
apriltag bezier - count : 423,   delta_t : 1,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.11482215  6.42410326 -7.09427786]
apriltag bezier - count : 423,   delta_t : 2,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.11363173  6.42328215 -7.09053612]
apriltag bezier - count : 423,   delta_t : 3,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.10982776  6.42075777 -7.07899904]
apriltag bezier - count : 423,   delta_t : 4,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.10664308  6.41889    -7.07073498]
apriltag bezier - count : 423,   delta_t : 5,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.10513031  6.41809082 -7.06652498]
apriltag bezier - count : 423,   delta_t : 6,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.10081005  6.41556597 -7.05382395]
apriltag bezier - count : 423,   delta_t : 7,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.0981797   6.41379881 -7.04533148]
apriltag bezier - count : 423,   delta_t : 8,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.09685266  6.41309023 -7.04111671]
apriltag bezier - count : 423,   delta_t : 9,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.09234631  6.41065645 -7.02807713]
apriltag bezier - count : 423,   delta_t : 10,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.08944523  6.40893078 -7.0192709 ]
apriltag bezier - count : 423,   delta_t : 11,   xf : [-1.42483532  6.90737343  1.35234594],   vehicle_position : [-1.08803153  6.40823841 -7.01481771]
