self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
shift: [0. 0. 0.]
apriltag bezier - count : 595,   delta_t : 1,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42473957   0.54920608 -22.14888191]
apriltag bezier - count : 595,   delta_t : 2,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42368284   0.5509845  -22.15084457]
apriltag bezier - count : 595,   delta_t : 3,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42290241   0.55239016 -22.15225792]
apriltag bezier - count : 595,   delta_t : 4,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42224503   0.5537352  -22.15333557]
apriltag bezier - count : 595,   delta_t : 5,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42154175   0.55531287 -22.15408325]
apriltag bezier - count : 595,   delta_t : 6,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42092371   0.55688918 -22.1542778 ]
apriltag bezier - count : 595,   delta_t : 7,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.42060277   0.55763239 -22.15415192]
apriltag bezier - count : 595,   delta_t : 8,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41989836   0.56005883 -22.15319824]
apriltag bezier - count : 595,   delta_t : 9,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.4195255    0.56164008 -22.15159416]
apriltag bezier - count : 595,   delta_t : 10,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41906422   0.56319666 -22.14919853]
apriltag bezier - count : 595,   delta_t : 11,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41888937   0.56406718 -22.14795303]
apriltag bezier - count : 595,   delta_t : 12,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41823971   0.56649816 -22.14390564]
apriltag bezier - count : 595,   delta_t : 13,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41789812   0.56815213 -22.14084244]
apriltag bezier - count : 595,   delta_t : 14,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41744989   0.56987035 -22.13718414]
apriltag bezier - count : 595,   delta_t : 15,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41717577   0.57067502 -22.13523674]
apriltag bezier - count : 595,   delta_t : 16,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41653749   0.57316744 -22.12923241]
apriltag bezier - count : 595,   delta_t : 17,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41633624   0.5750162  -22.12506676]
apriltag bezier - count : 595,   delta_t : 18,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41617301   0.57683927 -22.12091064]
apriltag bezier - count : 595,   delta_t : 19,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41608661   0.57777125 -22.11880112]
apriltag bezier - count : 595,   delta_t : 20,   xf : [  0.75264609   0.84654599 -10.26710796],   vehicle_position : [ -0.41601607   0.57980895 -22.11451149]
apriltag bezier - count : 598,   delta_t : 1,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41548121   0.58160657 -22.10978508]
apriltag bezier - count : 598,   delta_t : 2,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41500759   0.58435673 -22.10291672]
apriltag bezier - count : 598,   delta_t : 3,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.414893     0.58528626 -22.10065269]
apriltag bezier - count : 598,   delta_t : 4,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41450661   0.58697075 -22.09618378]
apriltag bezier - count : 598,   delta_t : 5,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41411933   0.58937448 -22.08929825]
apriltag bezier - count : 598,   delta_t : 6,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4138186    0.59087372 -22.08450699]
apriltag bezier - count : 598,   delta_t : 7,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41361174   0.59239864 -22.07955742]
apriltag bezier - count : 598,   delta_t : 8,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41336969   0.59398651 -22.07483864]
apriltag bezier - count : 598,   delta_t : 9,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41335329   0.59473073 -22.07243919]
apriltag bezier - count : 598,   delta_t : 10,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41303995   0.59683532 -22.06425667]
apriltag bezier - count : 598,   delta_t : 11,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41270456   0.5981738  -22.05861282]
apriltag bezier - count : 598,   delta_t : 12,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41254386   0.59949297 -22.05295563]
apriltag bezier - count : 598,   delta_t : 13,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41244152   0.60091066 -22.04746437]
apriltag bezier - count : 598,   delta_t : 14,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4122391    0.60225821 -22.04161453]
apriltag bezier - count : 598,   delta_t : 15,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41210645   0.60296041 -22.03853607]
apriltag bezier - count : 598,   delta_t : 16,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.411661     0.60500383 -22.02941513]
apriltag bezier - count : 598,   delta_t : 17,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41153568   0.60567248 -22.02647591]
apriltag bezier - count : 598,   delta_t : 18,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41126904   0.607669   -22.01812744]
apriltag bezier - count : 598,   delta_t : 19,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41127115   0.60832691 -22.01538658]
apriltag bezier - count : 598,   delta_t : 20,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41081336   0.61001796 -22.00623322]
apriltag bezier - count : 598,   delta_t : 21,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4104535    0.61120564 -22.00021744]
