self.yaw: -3.0998754501342773
self.home: array('f', [3.942152738571167, -2.698303461074829, 1.8055087327957153])
shift: [0. 0. 0.]
apriltag bezier - count : 413,   delta_t : 1,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.83928585 -2.81766701 -7.95121527]
apriltag bezier - count : 413,   delta_t : 2,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.8418467  -2.81454515 -7.95375013]
apriltag bezier - count : 413,   delta_t : 3,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84312773 -2.81228828 -7.95524454]
apriltag bezier - count : 413,   delta_t : 4,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84446192 -2.81014609 -7.95695543]
apriltag bezier - count : 413,   delta_t : 5,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84569144 -2.80803752 -7.95851803]
apriltag bezier - count : 413,   delta_t : 6,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84684253 -2.8058095  -7.95982313]
apriltag bezier - count : 413,   delta_t : 7,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.8477335  -2.80357242 -7.96079016]
apriltag bezier - count : 413,   delta_t : 8,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84868503 -2.80136919 -7.96137047]
apriltag bezier - count : 413,   delta_t : 9,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.84964395 -2.79932761 -7.96136713]
apriltag bezier - count : 413,   delta_t : 10,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85055327 -2.79732966 -7.96073627]
apriltag bezier - count : 413,   delta_t : 11,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.851511   -2.79531455 -7.95947313]
apriltag bezier - count : 413,   delta_t : 12,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85234046 -2.79331088 -7.95745277]
apriltag bezier - count : 413,   delta_t : 13,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85319924 -2.79137301 -7.95486355]
apriltag bezier - count : 413,   delta_t : 14,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85395098 -2.78948903 -7.95181179]
apriltag bezier - count : 413,   delta_t : 15,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85482025 -2.78753734 -7.94832659]
apriltag bezier - count : 413,   delta_t : 16,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85567451 -2.78565168 -7.94444847]
apriltag bezier - count : 413,   delta_t : 17,   xf : [ 3.9146018  -2.32595563  0.36150405],   vehicle_position : [ 3.85624313 -2.78384423 -7.94006586]
