self.yaw: 1.6196491718292236
self.home: array('f', [-0.005611014552414417, -0.0011992281069979072, 0.3003987669944763])
shift: [0. 0. 0.]
apriltag bezier - count : 992,   delta_t : 1,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11835368 -0.10435895 -8.06549168]
apriltag bezier - count : 992,   delta_t : 2,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11846668 -0.10415399 -8.05617332]
apriltag bezier - count : 992,   delta_t : 3,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11857017 -0.10369871 -8.04156494]
apriltag bezier - count : 992,   delta_t : 4,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11862901 -0.10312356 -8.02692509]
apriltag bezier - count : 992,   delta_t : 5,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11866863 -0.10274623 -8.01848793]
apriltag bezier - count : 992,   delta_t : 6,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11870091 -0.10237623 -8.01162624]
apriltag bezier - count : 992,   delta_t : 7,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11873891 -0.10182778 -8.00443077]
apriltag bezier - count : 992,   delta_t : 8,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.1187866  -0.10127284 -8.00074196]
apriltag bezier - count : 992,   delta_t : 9,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11882473 -0.10087893 -7.99990273]
apriltag bezier - count : 992,   delta_t : 10,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11888739 -0.1002559  -8.00041389]
apriltag bezier - count : 992,   delta_t : 11,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11894447 -0.09980594 -8.00153446]
apriltag bezier - count : 992,   delta_t : 12,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.11940484 -0.09918619 -8.00705051]
apriltag bezier - count : 992,   delta_t : 13,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12010071 -0.09820678 -8.01497364]
apriltag bezier - count : 992,   delta_t : 14,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12084154 -0.09716053 -8.02198315]
apriltag bezier - count : 992,   delta_t : 15,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12135122 -0.09641346 -8.0259409 ]
apriltag bezier - count : 992,   delta_t : 16,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12187242 -0.0956224  -8.02922726]
apriltag bezier - count : 992,   delta_t : 17,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12266757 -0.0943803  -8.03273964]
apriltag bezier - count : 992,   delta_t : 18,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.12349802 -0.09305692 -8.0344696 ]
