self.yaw: 1.146788239479065
self.home: array('f', [-6.515322208404541, 138.92196655273438, -48.82647705078125])
shift: [0. 0. 0.]
apriltag bezier - count : 841,   delta_t : 1,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08460498 -2.31750274 -7.25944757]
apriltag bezier - count : 841,   delta_t : 2,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08446765 -2.31618118 -7.25331068]
apriltag bezier - count : 841,   delta_t : 3,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08419752 -2.31415653 -7.24454594]
apriltag bezier - count : 841,   delta_t : 4,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08388162 -2.31209707 -7.23632097]
apriltag bezier - count : 841,   delta_t : 5,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08374047 -2.31078506 -7.23227739]
apriltag bezier - count : 841,   delta_t : 6,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.0836792  -2.30891991 -7.22878313]
apriltag bezier - count : 841,   delta_t : 7,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08366537 -2.30708289 -7.22668171]
apriltag bezier - count : 841,   delta_t : 8,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08366537 -2.30708289 -7.22668171]
apriltag bezier - count : 841,   delta_t : 9,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08374834 -2.30526567 -7.22573233]
apriltag bezier - count : 841,   delta_t : 10,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08394217 -2.30342126 -7.22546387]
apriltag bezier - count : 841,   delta_t : 11,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08421373 -2.30150628 -7.22544575]
apriltag bezier - count : 841,   delta_t : 12,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08443499 -2.30018806 -7.22539186]
apriltag bezier - count : 841,   delta_t : 13,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08476424 -2.29815555 -7.22508669]
apriltag bezier - count : 841,   delta_t : 14,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08483052 -2.29680371 -7.22480392]
apriltag bezier - count : 841,   delta_t : 15,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08465028 -2.29477811 -7.22405815]
apriltag bezier - count : 841,   delta_t : 16,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08393979 -2.29323602 -7.22379017]
apriltag bezier - count : 841,   delta_t : 17,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.0830543  -2.29169035 -7.22309923]
apriltag bezier - count : 841,   delta_t : 18,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.08135271 -2.28935027 -7.22119045]
apriltag bezier - count : 841,   delta_t : 19,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.07916546 -2.28698421 -7.21807957]
apriltag bezier - count : 841,   delta_t : 20,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.07741666 -2.28536296 -7.21535015]
apriltag bezier - count : 841,   delta_t : 21,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.07433558 -2.28282619 -7.21033049]
apriltag bezier - count : 841,   delta_t : 22,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.07066035 -2.2801857  -7.20426369]
apriltag bezier - count : 841,   delta_t : 23,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.06785321 -2.27837229 -7.19968176]
apriltag bezier - count : 841,   delta_t : 24,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.06473494 -2.27648759 -7.19473314]
apriltag bezier - count : 841,   delta_t : 25,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.05945611 -2.27351618 -7.18671274]
apriltag bezier - count : 841,   delta_t : 26,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.05430102 -2.27024984 -7.17983341]
apriltag bezier - count : 841,   delta_t : 27,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.05069351 -2.26794171 -7.17543173]
apriltag bezier - count : 841,   delta_t : 28,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.04457641 -2.2643497  -7.16827059]
apriltag bezier - count : 841,   delta_t : 29,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.03760839 -2.26059103 -7.1604991 ]
apriltag bezier - count : 841,   delta_t : 30,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.03509593 -2.25929785 -7.15777588]
apriltag bezier - count : 841,   delta_t : 31,   xf : [-1.1852684  -1.11004043  0.17508009],   vehicle_position : [ 2.02415681 -2.25394464 -7.1461916 ]
apriltag bezier - count : 944,   delta_t : 1,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 2.02120185 -2.25256038 -7.14313793]
apriltag bezier - count : 944,   delta_t : 2,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 2.00856233 -2.24684238 -7.13034868]
apriltag bezier - count : 944,   delta_t : 3,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 2.00177789 -2.24387288 -7.12361002]
apriltag bezier - count : 944,   delta_t : 4,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.99104166 -2.23926973 -7.11307192]
apriltag bezier - count : 944,   delta_t : 5,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.98437667 -2.23610306 -7.10678291]
apriltag bezier - count : 944,   delta_t : 6,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.97823095 -2.23286057 -7.10126495]
apriltag bezier - count : 944,   delta_t : 7,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.96841085 -2.22784352 -7.0928278 ]
apriltag bezier - count : 944,   delta_t : 8,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.957973   -2.22259808 -7.08461809]
apriltag bezier - count : 944,   delta_t : 9,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.95070767 -2.21896815 -7.07929087]
apriltag bezier - count : 944,   delta_t : 10,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.93940735 -2.2133534  -7.07148457]
apriltag bezier - count : 944,   delta_t : 11,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.9316119  -2.20950198 -7.06634617]
apriltag bezier - count : 944,   delta_t : 12,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.91959703 -2.20357203 -7.05866051]
apriltag bezier - count : 944,   delta_t : 13,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.9114058  -2.19951129 -7.05351257]
apriltag bezier - count : 944,   delta_t : 14,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.89886498 -2.19327712 -7.04564857]
apriltag bezier - count : 944,   delta_t : 15,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.89034605 -2.18903112 -7.04029179]
apriltag bezier - count : 944,   delta_t : 16,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.88170898 -2.18472004 -7.03483582]
apriltag bezier - count : 944,   delta_t : 17,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.86857951 -2.17812347 -7.02645683]
apriltag bezier - count : 944,   delta_t : 18,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.85523689 -2.17139149 -7.01783705]
apriltag bezier - count : 944,   delta_t : 19,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.84623909 -2.16684246 -7.011971  ]
apriltag bezier - count : 944,   delta_t : 20,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.83259165 -2.15995765 -7.00300121]
apriltag bezier - count : 944,   delta_t : 21,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.8234061  -2.15533566 -6.99691916]
apriltag bezier - count : 944,   delta_t : 22,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.81415308 -2.15069008 -6.99074268]
apriltag bezier - count : 944,   delta_t : 23,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.80031109 -2.14363742 -6.98199034]
apriltag bezier - count : 944,   delta_t : 24,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.79117835 -2.13883686 -6.9769249 ]
apriltag bezier - count : 944,   delta_t : 25,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.7773298  -2.13165736 -6.96905994]
apriltag bezier - count : 944,   delta_t : 26,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.76799691 -2.12688398 -6.96364164]
apriltag bezier - count : 944,   delta_t : 27,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.75858831 -2.12212586 -6.95810175]
apriltag bezier - count : 944,   delta_t : 28,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.74434614 -2.11502147 -6.94956017]
apriltag bezier - count : 944,   delta_t : 29,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.73476756 -2.11032653 -6.94369555]
apriltag bezier - count : 944,   delta_t : 30,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.72026277 -2.10335326 -6.93465662]
apriltag bezier - count : 944,   delta_t : 31,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.71051133 -2.09874439 -6.92846537]
apriltag bezier - count : 944,   delta_t : 32,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.6957742  -2.09195423 -6.91885948]
apriltag bezier - count : 944,   delta_t : 33,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.68588209 -2.08758926 -6.91208601]
apriltag bezier - count : 944,   delta_t : 34,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.67607558 -2.0831368  -6.90567112]
apriltag bezier - count : 944,   delta_t : 35,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.66146898 -2.07639885 -6.89637375]
apriltag bezier - count : 944,   delta_t : 36,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.64675021 -2.06998253 -6.88631678]
apriltag bezier - count : 944,   delta_t : 37,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.63194513 -2.06391835 -6.87559605]
apriltag bezier - count : 944,   delta_t : 38,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.61707711 -2.05817962 -6.86429548]
apriltag bezier - count : 944,   delta_t : 39,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.60712922 -2.05452776 -6.85651731]
