self.yaw: 0.7612762451171875
self.home: array('f', [-2.024801015853882, -0.8822138905525208, -3.898160934448242])
shift: [0. 0. 0.]
apriltag bezier - count : 986,   delta_t : 1,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.49091339  1.96014905 -9.01589584]
apriltag bezier - count : 986,   delta_t : 2,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.4202776   1.86776948 -9.01100731]
apriltag bezier - count : 986,   delta_t : 3,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.35065603  1.77709019 -9.00794697]
apriltag bezier - count : 986,   delta_t : 4,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.32767105  1.74729776 -9.00750351]
apriltag bezier - count : 986,   delta_t : 5,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.2368803   1.63052249 -9.00861549]
apriltag bezier - count : 986,   delta_t : 6,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.16997719  1.54554832 -9.01230335]
apriltag bezier - count : 986,   delta_t : 7,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.12591028  1.49013746 -9.01573372]
apriltag bezier - count : 986,   delta_t : 8,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.08223104  1.43571854 -9.019701  ]
apriltag bezier - count : 986,   delta_t : 9,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-6.03891706  1.38230217 -9.02406502]
apriltag bezier - count : 986,   delta_t : 10,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.9959569   1.32988453 -9.02861023]
apriltag bezier - count : 986,   delta_t : 11,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.93212461  1.25313509 -9.03558826]
apriltag bezier - count : 986,   delta_t : 12,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.86898804  1.17874992 -9.04266167]
apriltag bezier - count : 986,   delta_t : 13,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.82727528  1.13052809 -9.04727459]
apriltag bezier - count : 986,   delta_t : 14,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.78586531  1.08343601 -9.05186081]
apriltag bezier - count : 986,   delta_t : 15,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.72432184  1.01501453 -9.05864048]
apriltag bezier - count : 986,   delta_t : 16,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.6634798   0.9493525  -9.06516743]
apriltag bezier - count : 986,   delta_t : 17,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.62332058  0.90713942 -9.0693779 ]
apriltag bezier - count : 986,   delta_t : 18,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.583498    0.86620682 -9.07347584]
apriltag bezier - count : 986,   delta_t : 19,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.52439547  0.80726463 -9.07928753]
apriltag bezier - count : 986,   delta_t : 20,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.4828124   0.76485962 -9.07781219]
apriltag bezier - count : 986,   delta_t : 21,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.42127419  0.70407581 -9.07570457]
apriltag bezier - count : 986,   delta_t : 22,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.38080788  0.66541988 -9.0742588 ]
apriltag bezier - count : 986,   delta_t : 23,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.32093525  0.61015427 -9.07187843]
apriltag bezier - count : 986,   delta_t : 24,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.2620759   0.55811191 -9.06913376]
apriltag bezier - count : 986,   delta_t : 25,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.22341251  0.5251686  -9.06697559]
apriltag bezier - count : 986,   delta_t : 26,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-5.16629839  0.47834283 -9.06323147]
